lang_a,lang_b,family_id,ling_divergence,geo_distance_km,lat_a,lon_a,lat_b,lon_b,corridor_ruggedness,log_geo_dist
ABAZA,ABKHAZ,abkh1242,0.26544566544566545,148.98551733080694,44.25,42.0,43.056218,41.159115,3.659,5.010538738306942
ABAZA,ABKHAZ_2,abkh1242,0.7108160358160359,148.98551733080694,44.25,42.0,43.056218,41.159115,3.659,5.010538738306942
ABAZA,ADYGHE,abkh1242,0.812683223209539,214.91015115499084,44.25,42.0,44.0,39.33,3.659,5.3748623542709035
ABAZA,ADYGHE_2,abkh1242,0.7551282051282051,214.91015115499084,44.25,42.0,44.0,39.33,3.659,5.3748623542709035
ABAZA,KABARDIAN,abkh1242,0.8287480063795853,138.7323603939415,44.25,42.0,43.5082,43.3918,3.659,4.939728881484865
ABAZA,UBYKH,abkh1242,0.7051892551892551,197.32299601166636,44.25,42.0,43.67,39.67,3.659,5.289896994569595
ABKHAZ,ABKHAZ_2,abkh1242,0.6564204314204314,0.0,43.056218,41.159115,43.056218,41.159115,3.659,0.0
ABKHAZ,ADYGHE,abkh1242,0.8260718083086503,180.98650993027775,43.056218,41.159115,44.0,39.33,3.659,5.203932563067468
ABKHAZ,ADYGHE_2,abkh1242,0.7573565323565324,180.98650993027775,43.056218,41.159115,44.0,39.33,3.659,5.203932563067468
ABKHAZ,KABARDIAN,abkh1242,0.8571627933470038,187.58305140275647,43.056218,41.159115,43.5082,43.3918,3.659,5.239538500852408
ABKHAZ,UBYKH,abkh1242,0.7165445665445666,138.37869462377367,43.056218,41.159115,43.67,39.67,3.659,4.937194650374419
ABKHAZ_2,ADYGHE,abkh1242,0.8964893293840661,180.98650993027775,43.056218,41.159115,44.0,39.33,3.659,5.203932563067468
ABKHAZ_2,ADYGHE_2,abkh1242,0.9047792926694488,180.98650993027775,43.056218,41.159115,44.0,39.33,3.659,5.203932563067468
ABKHAZ_2,KABARDIAN,abkh1242,0.8894727348674716,187.58305140275647,43.056218,41.159115,43.5082,43.3918,3.659,5.239538500852408
ABKHAZ_2,UBYKH,abkh1242,0.9054365079365081,138.37869462377367,43.056218,41.159115,43.67,39.67,3.659,4.937194650374419
ADYGHE,ADYGHE_2,abkh1242,0.3870746943115364,0.0,44.0,39.33,44.0,39.33,3.659,0.0
ADYGHE,KABARDIAN,abkh1242,0.23086694007746641,330.7501623963803,44.0,39.33,43.5082,43.3918,3.659,5.804382162726531
ADYGHE,UBYKH,abkh1242,0.7627686640844535,45.71844635467836,44.0,39.33,43.67,39.67,3.659,3.8441390835723053
ADYGHE_2,KABARDIAN,abkh1242,0.48947938026885396,330.7501623963803,44.0,39.33,43.5082,43.3918,3.659,5.804382162726531
ADYGHE_2,UBYKH,abkh1242,0.6791964285714286,45.71844635467836,44.0,39.33,43.67,39.67,3.659,3.8441390835723053
KABARDIAN,UBYKH,abkh1242,0.8139781271360219,300.26345767456274,43.5082,43.3918,43.67,39.67,3.659,5.707985156585697
AINU_ASAHIKAWA,AINU_BIHORO,ainu1252,0.11232142857142857,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_ASAHIKAWA,AINU_HIRATORI,ainu1252,0.06845238095238095,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_ASAHIKAWA,AINU_HOROBETSU,ainu1252,0.07261904761904761,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_ASAHIKAWA,AINU_KUSHIRO,ainu1252,0.053125,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_ASAHIKAWA,AINU_MAOKA,ainu1252,0.2863690476190476,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_ASAHIKAWA,AINU_NAIRO,ainu1252,0.28242063492063496,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_ASAHIKAWA,AINU_NAYORO,ainu1252,0.03392857142857143,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_ASAHIKAWA,AINU_NIIKAPPU,ainu1252,0.10011904761904762,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_ASAHIKAWA,AINU_NUKKIBETSU,ainu1252,0.10142857142857142,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_ASAHIKAWA,AINU_OBIHIRO,ainu1252,0.05232142857142856,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_ASAHIKAWA,AINU_OCHIHO,ainu1252,0.32785714285714285,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_ASAHIKAWA,AINU_OSHAMAMBE,ainu1252,0.08234848484848485,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
